S.No,Station Name,Code,Category,Division,Zone,District,State,Awarded Date
1,"THALASSERY",TLY,NSG-3,"PALAKKAD",SR,"Kannur","Kerala",2026-03-30
2,"UDHAMPUR",UHP,NSG-4,"FEROZPUR",NR,"Udhampur","Jammu & Kashmir",2024-06-26
3,"JAMMU TAWI",JAT,NSG-2,"FEROZPUR",NR,"Jammu","Jammu & Kashmir",2024-06-26
4,"SIRHIND",SIR,NSG-4,"AMBALA",NR,"Fatehgarh Sahib","Punjab",2024-07-08
5,"METTUPALAYAM",MTP,NSG-4,"SALEM",SR,"Coimbatore","Tamil Nadu",2024-06-26
6,"NANDURBAR",NDB,NSG-3,"MUMBAI CENTRAL",WR,"Nandurbar","Maharashtra",2024-07-19
7,"DWARKA",DWK,NSG-3,"RAJKOT",WR,"Devbhumi Dwarka","Gujarat",2024-07-19
8,"ANKLESHWAR",AKV,NSG-3,"VADODARA",WR,"Bharuch","Gujarat",2024-07-19
9,"VERAVAL",VRL,NSG-3,"BHAVNAGAR",WR,"Gir Somnath","Gujarat",2024-07-19
10,"BHARUCH",BH,NSG-3,"VADODARA",WR,"Bharuch","Gujarat",2024-07-19
11,"AYODHYA DHAM",AY,NSG-1,"Lucknow",NR,"Ayodhya","Uttar Pradesh",2024-09-09
12,"CHANDERIYA",CAN,NSG-5,"Ratlam",WR,"Chittaurgarh","Rajasthan",2024-07-31
13,"NIMBAHERA",NBH,NSG-5,"Ratlam",WR,"Chittaurgarh","Rajasthan",2024-07-31
14,"CHITTAURGARH",COR,NSG-3,"Ratlam",WR,"Chittaurgarh","Rajasthan",2024-07-31
15,"GAYA",GAYA,NSG-2,"Deen Dayal Upadhyaya",ECR,"Gaya","Bihar",2024-09-12
16,"VADODARA",BRC,NSG-2,"VADODARA",WR,"Vadodara Municipal Corporation","Gujarat",2024-08-28
17,"AISHBAGH",ASH,NSG-3,"Lucknow",NER,"Lucknow","Uttar Pradesh",2024-08-28
18,"VISAKHAPATNAM",VSKP,NSG-1,"WALTAIR",ECOR,"Visakhapatnam","Andhra Pradesh",2024-09-12
19,"NEW TINSUKIA",NTSK,NSG-3,"TINSUKIA",NFR,"Tinsukia","Assam",2024-09-12
20,"KAMAKHYA",KYQ,NSG-2,"LUMDING",NFR,"Kamrup Metropolitan Dist.","Assam",2024-09-12
21,"MAHESANA",MSH,NSG-3,"AHMEDABAD",WR,"Mahesana","Gujarat",2024-11-01
22,"SABARMATI",SBT,NSG-5,"AHMEDABAD",WR,"Ahmedabad","Gujarat",2024-11-01
23,"AHMADNAGAR",ANG,NSG-3,"Solapur",CR,"Ahmadnagar","Maharashtra",2024-11-01
24,"CHINCHWAD",CCH,SG-3,"PUNE",CR,"Pune","Maharashtra",2024-11-01
25,"DAUND",DD,NSG-3,"Solapur",CR,"Pune","Maharashtra",2024-11-08
26,"KOPARGAON",KPG,NSG-3,"Solapur",CR,"Ahmadnagar","Maharashtra",2024-11-01
27,"SAINAGAR SHIRDI",SNSI,NSG-3,"Solapur",CR,"Ahmadnagar","Maharashtra",2024-11-01
28,"SATARA",STR,NSG-4,"Pune",CR,"Satara","Maharashtra",2024-11-08
29,"KAYAMKULAM",KYJ,NSG-3,"THIRUVANANTHAPURAM",SR,"Alappuzha","Kerala",2024-11-08
30,"MIRAJ",MRJ,NSG-3,"Pune",CR,"Sangli","Maharashtra",2024-11-08
31,"SHIVAJINAGAR",SVJR,SG-3,"Pune",CR,"Pune","Maharashtra",2024-11-08
32,"KOLHAPUR",KOP,NSG-3,"Pune",CR,"Kolhapur","Maharashtra",2024-11-08
33,"PUNE",PUNE,NSG-1,"Pune",CR,"Pune","Maharashtra",2024-11-08
34,"RAIPUR",R,NSG-2,"Raipur",SECR,"Raipur","Chhattisgarh",2024-11-08
35,"DURG",DURG,NSG-2,"Raipur",SECR,"Durg","Chhattisgarh",2024-11-08
36,"BILASPUR",BSP,NSG-2,"Bilaspur",SECR,"Bilaspur","Chhattisgarh",2024-11-08
37,"HAJIPUR",HJP,NSG-2,"Sonpur",ECR,"Vaishali","Bihar",2024-11-08
38,"CHERTALA",SRTL,NSG-4,"THIRUVANANTHAPURAM",SR,"Alappuzha","Kerala",2024-11-08
39,"PUNALUR",PUU,NSG-6,"Madurai",SR,"Kollam","Kerala",2024-11-08
40,"SALEM",SA,NSG-2,"SALEM",SR,"Salem","Tamil Nadu",2024-12-23
41,"KASGANJ",KSJ,NSG-4,"Izzatnagar",NER,"Kasganj","Uttar Pradesh",2025-01-16
42,"VIJAYAWADA",BZA,NSG-1,"VIJAYAWADA",ECOR,"N T R","Andhra Pradesh",2025-01-16
43,"UDAIPUR CITY",UDZ,NSG-2,"Ajmer",NWR,"Udaipur","Rajasthan",2025-07-02
44,"BAREILLY",BRY,NSG-3,"Izzatnagar",NER,"Bareilly","Uttar Pradesh",2024-12-23
45,"FATEHABAD CHANDRAWATIGANJ",FTD,NSG-6,"Ratlam",WR,"Indore","Madhya Pradesh",2025-01-30
46,"GAUTAMPURA ROAD",GPX,HG-3,"Ratlam",WR,"Indore","Madhya Pradesh",2025-01-30
47,"DAMOH",DMO,NSG-3,"Jabalpur",WCR,"Damoh","Madhya Pradesh",2025-01-31
48,"RUTHIYAI",RTA,NSG-5,"Bhopal",WCR,"Guna","Madhya Pradesh",2025-01-16
49,"AGRA FORT",AF,NSG-3,"Agra",NCR,"Agra","Uttar Pradesh",2025-01-24
50,"ACHHNERA",AH,NSG-5,"Agra",NCR,"Agra","Uttar Pradesh",2025-01-24
51,"CHHAYAPURI",CYI,NSG-6,"VADODARA",WR,"Vadodara","Gujarat",2025-01-16
52,"GURUVAYUR",GUV,NSG-4,"THIRUVANANTHAPURAM",SR,"Thrissur","Kerala",2025-01-16
53,"KOTTARAKARA",KKZ,NSG-6,"Madurai",SR,"Kollam","Kerala",2025-01-16
54,"DHOLPUR",DHO,NSG-4,"Agra",NCR,"Agra","Uttar Pradesh",2025-01-24
55,"GODHRA",GDA,NSG-4,"VADODARA",WR,"GODHRA(PANCHMAHAL)","Gujarat",2025-01-16
56,"RAJA KI MANDI",RKM,NSG-4,"Agra",NCR,"Agra","Uttar Pradesh",2025-01-24
57,"MATHURA",MTJ,NSG-2,"Agra",NCR,"Mathura","Uttar Pradesh",2025-01-24
58,"KOSIKALAN",KSV,NSG-4,"Agra",NCR,"Mathura","Uttar Pradesh",2025-01-24
59,"GUNA",GUNA,NSG-4,"Bhopal",WCR,"Guna","Madhya Pradesh",2025-01-16
60,"IDGAH",IDH,NSG-4,"Agra",NCR,"Agra","Uttar Pradesh",2025-03-12
61,"RANCHI",RNC,NSG-2,"Ranchi",SER,"Ranchi","Jharkhand",2025-01-16
62,"KOLKATA",KOAA,NSG-2,"Sealdah",ER,"Kolkata","West Bengal",2025-01-31
63,"HATIA",HTE,NSG-3,"Ranchi",SER,"Ranchi","Jharkhand",2025-01-16
64,"BOKARO STEEL CITY",BKSC,NSG-3,"Adra",SER,"Bokaro","Jharkhand",2025-01-31
65,"TATANAGAR",TATA,NSG-2,"Chakradharpur",SER,"Purbi Singhbhum","Jharkhand",2025-01-31
66,"KHARAGPUR",KGP,NSG-2,"KHARAGPUR",SER,"Paschim Mednipur","West Bengal",2025-01-31
67,"BERHAMPORE COURT",BPC,NSG-3,"Sealdah",ER,"Murshidabad","West Bengal",2025-01-31
68,"MURSHIDABAD",MBB,NSG-5,"Sealdah",ER,"Murshidabad","West Bengal",2025-01-31
69,"QUILANDI",QLD,NSG-3,"PALAKKAD",SR,"Kozhikode","Kerala",2025-01-24
70,"FEROK",FK,NSG-5,"PALAKKAD",SR,"Kozhikode","Kerala",2025-01-24
71,"ANGADIPURAM",AAM,NSG-5,"PALAKKAD",SR,"Malappuram","Kerala",2025-01-24
72,"KUTTIPPURAM",KTU,NSG-4,"PALAKKAD",SR,"Malappuram","Kerala",2025-01-24
73,"WADAKKANCHEY",WKI,NSG-5,"THIRUVANANTHAPURAM",SR,"Thrissur","Kerala",2025-01-24
74,"BHUJ",BHUJ,NSG-3,"AHMEDABAD",WR,"BHUJ(KUTCHH)","Gujarat",2025-01-31
75,"PALANPUR",PNU,NSG-3,"AHMEDABAD",WR,"BANASKANTHA","Gujarat",2025-01-31
76,"GANDHIDHAM",GIM,NSG-3,"AHMEDABAD",WR,"BHUJ(KUTCHH)","Gujarat",2025-01-31
77,"MORADABAD",MB,NSG-3,"Moradabad",NR,"Moradabad","Uttar Pradesh",2025-02-20
78,"TUNDLA",TDL,NSG-3,"Prayagraj",NCR,"Firozabad","Uttar Pradesh",2025-04-23
