Extracted 294 records
1 | THALASSERY | TLY | NSG-3 | SR | Kannur | Kerala
2 | UDHAMPUR | UHP | NSG-4 | NR | Udhampur | Jammu & Kashmir
3 | JAMMU TAWI | JAT | NSG-2 | NR | Jammu | Jammu & Kashmir
4 | SIRHIND | SIR | NSG-4 | NR | Fatehgarh Sahib | Punjab
5 | METTUPALAYAM | MTP | NSG-4 | SR | Coimbatore | Tamil Nadu
6 | NANDURBAR | NDB | NSG-3 | WR | Nandurbar | Maharashtra
7 | DWARKA | DWK | NSG-3 | WR | Devbhumi Dwarka | Gujarat
8 | ANKLESHWAR | AKV | NSG-3 | WR | Bharuch | Gujarat
9 | VERAVAL | VRL | NSG-3 | WR | Gir Somnath | Gujarat
10 | BHARUCH | BH | NSG-3 | WR | Bharuch | Gujarat
11 | AYODHYA DHAM | AY | NSG-1 | NR | Ayodhya | Uttar Pradesh
12 | CHANDERIYA | CAN | NSG-5 | WR | Chittaurgarh | Rajasthan
13 | NIMBAHERA | NBH | NSG-5 | WR | Chittaurgarh | Rajasthan
14 | CHITTAURGARH | COR | NSG-3 | WR | Chittaurgarh | Rajasthan
15 | GAYA | GAYA | NSG-2 | ECR | Gaya | Bihar
16 | VADODARA | BRC | NSG-2 | WR | Vadodara Municipal Corporation | Gujarat
17 | AISHBAGH | ASH | NSG-3 | NER | Lucknow | Uttar Pradesh
18 | VISAKHAPATNAM | VSKP | NSG-1 | ECOR | Visakhapatnam | Andhra Pradesh
19 | NEW TINSUKIA | NTSK | NSG-3 | NFR | Tinsukia | Assam
20 | KAMAKHYA | KYQ | NSG-2 | NFR | Kamrup Metropolitan Dist. | Assam
21 | MAHESANA | MSH | NSG-3 | WR | Mahesana | Gujarat
22 | SABARMATI | SBT | NSG-5 | WR | Ahmedabad | Gujarat
23 | AHMADNAGAR | ANG | NSG-3 | CR | Ahmadnagar | Maharashtra
24 | CHINCHWAD | CCH | SG-3 | CR | Pune | Maharashtra
25 | DAUND | DD | NSG-3 | CR | Pune | Maharashtra
26 | KOPARGAON | KPG | NSG-3 | CR | Ahmadnagar | Maharashtra
27 | SAINAGAR SHIRDI | SNSI | NSG-3 | CR | Ahmadnagar | Maharashtra
28 | SATARA | STR | NSG-4 | CR | Satara | Maharashtra
